,index,FIPS,Confirmed,icu_beds,utility
70,70,2050.0,0,12.253846153846155,0
71,71,2060.0,0,1.3615384615384614,0
72,72,2068.0,0,1.8153846153846152,0
73,73,2070.0,0,3.1769230769230763,0
74,74,2090.0,10,5.900000000000001,0.16949152542372878
75,75,2100.0,0,0.4538461538461538,0
76,76,2105.0,0,2.7230769230769236,0
77,77,2110.0,3,1.3615384615384614,0.2203389830508475
78,78,2122.0,4,6.807692307692308,0.05875706214689265
79,79,2130.0,11,0.9076923076923076,1.2118644067796613
80,80,2150.0,0,2.7230769230769236,0
81,81,2164.0,0,5.446153846153847,0
82,82,2170.0,0,4.992307692307693,0
83,83,2180.0,0,6.353846153846155,0
84,84,2185.0,0,4.084615384615385,0
85,85,2188.0,0,4.992307692307693,0
86,86,2195.0,0,1.3615384615384614,0
87,87,2198.0,0,3.630769230769231,0
88,88,2220.0,0,0.4538461538461538,0
89,89,2230.0,0,0.4538461538461538,0
90,90,2240.0,0,3.1769230769230763,0
91,91,2261.0,0,3.630769230769231,0
92,92,2275.0,0,0.9076923076923076,0
93,93,2282.0,0,0.4538461538461538,0
94,94,2290.0,0,14.069230769230774,0
95,95,4001.0,11,70.6741102233067,0.015564398285657446
96,96,4003.0,2,77.948275862069,0.0025658040256580396
97,97,4005.0,41,112.27213875906357,0.03651841004649084
98,98,4007.0,0,46.124299763475655,0
99,99,4009.0,4,38.129154736711065,0.010490660041169933
100,100,4011.0,0,13.655172413793109,0
101,101,4012.0,2,36.44765342960289,0.005487321711568938
102,102,4013.0,399,965.2176874910756,0.041337825152907716
103,103,4015.0,4,144.1555767690532,0.0027747799215622894
104,104,4017.0,49,114.15833475004244,0.04292284055061673
105,105,4019.0,102,231.0042325407695,0.04415503511694238
106,106,4021.0,36,137.26266439074405,0.026227088159617253
107,107,4023.0,2,23.32758620689656,0.008573540280857352
108,108,4025.0,9,159.34536702767744,0.005648108989850171
109,109,4027.0,4,47.83754512635379,0.008361633084295526
110,110,5001.0,0,17.094613259668506,0
111,111,5003.0,0,10.626381215469609,0
112,112,5005.0,0,12.84494742470148,0
113,113,5007.0,23,38.498084291187745,0.05974323248407643
114,114,5009.0,1,9.088431590656283,0.011002998592497402
115,115,5011.0,4,7.392265193370164,0.054110612855007484
116,116,5013.0,0,8.008287292817679,0
117,117,5015.0,0,9.637745643307378,0
118,118,5017.0,1,4.1581491712707175,0.024049161268892217
119,119,5019.0,17,15.708563535911601,0.10822122571001497
120,120,5021.0,0,17.009028530155287,0
121,121,5023.0,49,21.736633398681164,0.22542589324330695
122,122,5025.0,3,6.006215469613259,0.049948258020006915
123,123,5027.0,1,9.360714826307422,0.010682944823717871
124,124,5029.0,1,18.78867403314917,0.005322355362787621
125,125,5031.0,4,14.436619718309855,0.027707317073170742
126,126,5033.0,1,12.553448275862069,0.00796593874467793
127,127,5035.0,9,14.127837514934287,0.06370401691331926
128,128,5037.0,1,7.872100986148844,0.012703089070624535
129,129,5039.0,0,8.008287292817679,0
130,130,5041.0,2,12.16759985346244,0.016437095434486
131,131,5043.0,1,7.854281767955801,0.012731908907060583
132,132,5045.0,27,20.636740331491715,0.13083461615688374
133,133,5047.0,0,8.034150030248034,0
134,134,5049.0,0,15.560818036000711,0
135,135,5051.0,20,19.37814771735969,0.10320903881893331
136,136,5053.0,3,11.242403314917123,0.026684685791510548
137,137,5055.0,1,8.854460093896714,0.01129374337221633
138,138,5057.0,1,12.417910447761194,0.008052884615384616
139,139,5059.0,1,12.628453038674033,0.007918626271464509
140,140,5061.0,0,6.686567164179103,0
141,141,5063.0,3,28.64502762430939,0.010473021842904676
142,142,5065.0,0,22.191365175548025,0
143,143,5067.0,0,17.787526262547654,0
144,144,5069.0,23,22.484806629834253,0.10229129553412374
145,145,5071.0,0,15.766986527091206,0
146,146,5073.0,0,5.296137849313939,0
147,147,5075.0,1,13.628407646616347,0.007337614385553542
148,148,5077.0,0,11.816009557945039,0
149,149,5079.0,5,8.778314917127071,0.05695853984737629
150,150,5081.0,0,7.880597014925373,0
151,151,5083.0,0,11.948764175632448,0
152,152,5085.0,1,12.166436464088395,0.008219333598228986
153,153,5087.0,0,13.266438017550364,0
154,154,5089.0,0,10.618712149301693,0
155,155,5091.0,0,7.164179104477612,0
156,156,5093.0,0,27.86807343463408,0
157,157,5095.0,0,9.190353604361801,0
158,158,5097.0,0,12.320441988950277,0
159,159,5099.0,0,9.851478106704047,0
160,160,5101.0,0,19.24904214559386,0
161,161,5103.0,0,7.715871608806792,0
162,162,5105.0,0,9.856353591160222,0
163,163,5107.0,0,19.16178703208644,0
164,164,5109.0,1,13.306856600973036,0.007514922794966297
165,165,5111.0,3,10.331297221801536,0.029037979796663626
166,166,5113.0,1,8.856161978707796,0.011291573058444785
167,167,5115.0,1,20.615006032895156,0.004850835349765653
168,168,5117.0,0,15.246546961325965,0
169,169,5119.0,88,83.16298342541441,0.10581630958312568
170,170,5121.0,1,9.793062838505517,0.010211309949611294
171,171,5123.0,0,11.712563615121093,0
172,172,5125.0,4,17.556629834254142,0.02278341593895052
173,173,5127.0,0,5.10877192982456,0
174,174,5129.0,2,10.77512750337835,0.01856126527851235
175,175,5131.0,2,24.95438596491228,0.008014623172103488
176,176,5133.0,1,6.925373134328357,0.014439655172413796
177,177,5135.0,0,12.233909247679982,0
178,178,5137.0,1,21.231028132342665,0.00471008748971809
179,179,5139.0,1,18.942679558011047,0.00527908418097634
180,180,5141.0,16,13.86049723756906,0.11543597409068262
181,181,5143.0,13,38.63640855011091,0.033647019709762034
182,182,5145.0,6,32.649171270718234,0.018377189271511975
183,183,5147.0,1,10.575821633431683,0.00945553012012662
184,184,5149.0,0,17.811544053503926,0
185,185,6001.0,220,340.234339718253,0.06466131554568574
186,186,6003.0,0,3.622320881812615,0
187,187,6005.0,2,34.114285714285714,0.005862646566164155
188,188,6007.0,5,32.068067226890754,0.015591834595529468
189,189,6009.0,3,58.08774703557314,0.005164600372885507
190,190,6011.0,0,19.96568627450981,0
191,191,6013.0,147,270.94185389078996,0.0542551834975087
192,192,6015.0,0,7.999999999999999,0
193,193,6017.0,9,74.99175050301811,0.012001320064715368
194,194,6019.0,27,189.97733371693764,0.014212221780220084
195,195,6021.0,0,8.11764705882353,0
196,196,6023.0,12,51.527777777777736,0.023288409703504067
197,197,6025.0,17,86.42565269711714,0.0196700857551835
198,198,6027.0,3,46.480878286101245,0.006454267024676819
199,199,6029.0,33,197.1855662192867,0.01673550485094901
200,200,6031.0,0,20.136481409509003,0
201,201,6033.0,0,13.350000000000005,0
202,202,6035.0,0,29.90599588818312,0
203,203,6037.0,1465,2874.0685308606294,0.050973036455790814
204,204,6039.0,10,27.15071219103477,0.036831446371053296
205,205,6041.0,65,222.12088974854947,0.029263343971646625
206,206,6043.0,0,16.036587068845133,0
207,207,6045.0,2,27.51818181818181,0.007267922035018173
208,208,6047.0,4,34.13091746962714,0.01171957947968897
209,209,6049.0,0,19.52217005738132,0
210,210,6051.0,6,16.161971830985912,0.03712418300653596
211,211,6053.0,24,71.46580086580093,0.03358249639581791
212,212,6055.0,6,15.279497098646038,0.039268308120767134
213,213,6057.0,8,34.809087860496305,0.022982503971553183
214,214,6059.0,321,889.5109308091023,0.03608724624755508
215,215,6061.0,30,81.41784037558682,0.036846961134817224
216,216,6063.0,0,33.30033140016569,0
217,217,6065.0,149,407.54757340307634,0.036560148979867604
218,218,6067.0,164,198.05238095238124,0.08280637637950507
219,219,6069.0,13,17.89787878787879,0.07263430574132705
220,220,6071.0,54,497.5146489918348,0.010853951759898079
221,221,6073.0,341,875.7531969309468,0.03893791095425346
222,222,6075.0,279,208.77436912419608,0.13363709404099694
223,223,6077.0,90,112.06839826839834,0.0803080987955716
224,224,6079.0,59,49.05296167247389,0.12027816056029884
225,225,6081.0,239,172.5014844136567,0.13854953237786674
226,226,6083.0,32,97.5990302674112,0.03278721101257188
227,227,6085.0,574,369.3807578468042,0.15539520882082844
228,228,6087.0,32,35.50459478505989,0.09012917959977788
229,229,6089.0,3,42.85185185185183,0.0070008643042350945
230,230,6091.0,0,19.517337357478198,0
231,231,6093.0,3,27.88888888888888,0.01075697211155379
232,232,6095.0,34,82.43406557981028,0.04124508449371842
233,233,6097.0,44,83.50909090909082,0.052688874374047526
234,234,6099.0,17,43.17426486556924,0.039375308538390934
235,235,6101.0,2,33.166666666666664,0.006030150753768845
236,236,6103.0,0,20.23638344226579,0
237,237,6105.0,0,16.003703703703707,0
238,238,6107.0,20,104.80700220235792,0.019082694457174393
239,239,6109.0,0,23.49783549783549,0
240,240,6111.0,61,165.59548233856754,0.03683675371969551
241,241,6113.0,13,56.38333333333333,0.023056458764410287
242,242,6115.0,3,29.10224089635855,0.010308484527648105
243,243,8001.0,50,78.51469665868399,0.06368234499759713
244,244,8003.0,0,5.7914046121593294,0
245,245,8005.0,119,95.14767932489453,0.12506873614190686
246,246,8007.0,0,5.709141274238228,0
247,247,8009.0,1,8.802935010482182,0.011359847582757798
248,248,8011.0,0,4.633123689727462,0
249,249,8013.0,66,91.90625036865757,0.07181230845046828
250,250,8014.0,10,11.173450458315148,0.08949786851704453
251,251,8015.0,5,9.109147360878909,0.054889879391714747
252,252,8017.0,0,6.718029350104821,0
253,253,8019.0,3,15.223628691983125,0.01970620842572062
254,254,8021.0,0,8.80293501048218,0
255,255,8023.0,0,8.339622641509434,0
256,256,8025.0,1,5.824779874213836,0.017168030751290305
257,257,8027.0,0,2.8832704402515725,0
258,258,8029.0,1,10.945205479452056,0.009136420525657071
259,259,8031.0,262,134.6339662447257,0.19460170958921288
260,260,8033.0,0,3.806094182825485,0
261,261,8035.0,67,36.58215242947749,0.18314942000518306
262,262,8037.0,147,25.482168660771066,0.5768739778663404
263,263,8039.0,3,20.56414696282144,0.014588497181156086
264,264,8041.0,137,86.1211320754717,0.15907826186021443
265,265,8043.0,1,16.819287211740047,0.0059455551677718484
266,266,8045.0,16,8.47716894977169,0.18874225693509292
267,267,8047.0,0,9.02622581114506,0
268,268,8049.0,2,25.21413502109705,0.007932058737396979
269,269,8051.0,57,12.554794520547947,0.4540098199672667
270,270,8053.0,1,2.6169888168067463,0.038211856068235
271,271,8055.0,1,3.626666666666667,0.027573529411764705
272,272,8057.0,0,3.181932171005493,0
273,273,8059.0,131,85.38864033173289,0.1534161915344571
274,274,8061.0,0,4.274663580387917,0
275,275,8063.0,1,15.699367088607598,0.006369683531546058
276,276,8065.0,0,8.563291139240508,0
277,277,8067.0,5,7.61218836565097,0.06568413391557497
278,278,8069.0,61,24.058868639028507,0.253544756884558
279,279,8071.0,0,13.877777777777776,0
280,280,8073.0,0,17.052026112570662,0
281,281,8075.0,2,6.413288288288289,0.03118525021949078
282,282,8077.0,6,24.46575342465753,0.024524076147816355
283,283,8079.0,0,1.389937106918239,0
284,284,8081.0,0,12.873170147036648,0
