,STCOUNTYFP,icu_beds
214,42009,14.5452984355507
215,1051,16.27446550048591
216,42011,61.40612842634854
217,1053,17.929878048780484
218,42013,8.667753454432543
219,1055,32.444120505345
220,42015,22.479017548645206
221,1057,17.47474246841594
222,42017,310.1109571751012
223,1059,18.9533527696793
224,42019,58.387793994057986
225,1061,12.674510477499144
226,42021,30.452647104486882
227,1063,18.05935860058309
228,42023,2.6455026455026447
229,1065,16.168824101069
230,42025,32.55978260869565
231,1067,5.737089201877934
232,42027,24.528588464193806
233,1069,13.680751173708924
234,42029,191.86206739526418
235,1071,47.07158530931236
236,42031,53.34247718475907
237,1073,273.74061224489793
238,42033,37.55875166326458
239,1075,12.769144800777456
240,42035,11.6519801669491
241,1077,36.77289635065849
242,42037,12.407425737485868
243,1079,19.87419992627593
244,42039,21.516754850088166
